transaction_id,status,internal_amount,external_amount,difference
TX1001,MATCHED,12500.00,12500.00,0
TX1002,AMOUNT_MISMATCH,8000.00,7950.00,5000
TX1003,TAX_MISMATCH,15000.00,15000.00,0
TX1004,MATCHED,4200.50,4200.50,0
TX1005,MISSING_EXTERNAL,9999.99,,999999
TX1006,MATCHED,3000.00,3000.00,0
TX1007,MATCHED,7600.00,7600.00,0
TX1008,MATCHED,11200.00,11200.00,0
TX1009,DUPLICATE,5000.00,,0
TX1010,MATCHED,6300.25,6300.25,0
TX1009,DUPLICATE,,5000.00,0
TX1009,DUPLICATE,,5000.00,0
TX1011,MISSING_INTERNAL,,2500.00,250000
