transaction_id,invoice_number,vendor_id,transaction_date,amount,tax_amount,currency
TX1001,INV100,V-42,2026-07-01,12500.00,2250.00,INR
TX1002,INV101,V-17,2026-07-01,7950.00,1440.00,INR
TX1003,INV102,V-42,2026-07-02,15000.00,2650.00,INR
TX1004,INV103,V-08,2026-07-02,4200.50,756.09,INR
TX1006,INV105,V-23,2026-07-03,3000.00,540.00,INR
TX1007,INV106,V-08,2026-07-04,7600.00,1368.00,INR
TX1008,INV107,V-42,2026-07-04,11200.00,2016.00,INR
TX1009,INV108,V-23,2026-07-05,5000.00,900.00,INR
TX1009,INV108,V-23,2026-07-05,5000.00,900.00,INR
TX1010,INV109,V-17,2026-07-05,6300.25,1134.05,INR
TX1011,INV999,V-99,2026-07-06,2500.00,450.00,INR
